REF_DATE,province,Immigrants,Net emigration,Net non-permanent residents
1997,Quebec,27934.0,11166.0,-1566.0
1997,Saskatchewan,1737.0,1212.0,299.0
1997,Yukon,88.0,62.0,-14.0
1998,Alberta,11198.0,6260.0,922.0
1998,British Columbia,35990.0,11499.0,-111.0
1998,Manitoba,3004.0,1574.0,-10.0
1998,New Brunswick,729.0,405.0,105.0
1998,Newfoundland and Labrador,401.0,236.0,62.0
1998,Northwest Territories,53.0,51.0,33.0
1998,Nova Scotia,2056.0,935.0,318.0
1998,Nunavut,11.0,26.0,5.0
1998,Ontario,92346.0,25180.0,-1286.0
1998,Prince Edward Island,136.0,95.0,29.0
1998,Quebec,26626.0,10299.0,694.0
1998,Saskatchewan,1572.0,1221.0,142.0
1998,Yukon,62.0,61.0,18.0
1999,Alberta,12089.0,5471.0,1483.0
1999,British Columbia,36106.0,12050.0,4588.0
1999,Manitoba,3725.0,1144.0,626.0
1999,New Brunswick,662.0,495.0,506.0
1999,Newfoundland and Labrador,423.0,285.0,394.0
1999,Northwest Territories,57.0,35.0,23.0
1999,Nova Scotia,1609.0,852.0,609.0
1999,Nunavut,14.0,22.0,-15.0
1999,Ontario,104165.0,23509.0,10892.0
1999,Prince Edward Island,137.0,93.0,110.0
1999,Quebec,29179.0,9176.0,2692.0
1999,Saskatchewan,1726.0,1204.0,522.0
1999,Yukon,79.0,51.0,1.0
2000,Alberta,14349.0,6505.0,1771.0
2000,British Columbia,37413.0,12752.0,4605.0
2000,Manitoba,4647.0,1130.0,294.0
2000,New Brunswick,761.0,666.0,242.0
2000,Newfoundland and Labrador,417.0,337.0,79.0
2000,Northwest Territories,82.0,36.0,53.0
